Temps	Axial D?lacement	Axial Force	Axial fl?he	Axial CMOD*2	Canon		Axial Force	Axial Force
Sec	mm	N	mm	mm	unitless		N	N
50.513672	-0.1509726	-1.9012258	-0.000767782	0.008101165	0		-1.9012258	1.9012258
51.013672	-0.15198588	-4.9598775	-0.000822842	0.008103252	0		-4.9598775	4.9598775
51.513672	-0.15354753	-3.2393105	-0.000849739	0.008192062	0		-3.2393105	3.2393105
52.013672	-0.15611947	-2.0745223	-0.000800639	0.008059144	0		-2.0745223	2.0745223
52.513672	-0.15677512	-4.4060445	-0.000823066	0.008292198	1		-4.4060445	4.4060445
53.013672	-0.16099513	-4.5558181	-0.000831634	0.008195043	1		-4.5558181	4.5558181
53.513672	-0.16119778	-4.9441414	-0.000791997	0.008224249	0		-4.9441414	4.9441414
54.013672	-0.16125143	-2.5260825	-0.000869036	0.008179843	0		-2.5260825	2.5260825
54.513672	-0.16377568	-4.1035647	-0.000788718	0.008306503	0		-4.1035647	4.1035647
55.013672	-0.16463995	-5.4249949	-0.000794306	0.008228719	0		-5.4249949	5.4249949
55.513672	-0.16615689	-4.4461007	-0.000773892	0.008173883	0		-4.4461007	4.4461007
56.013672	-0.16746521	-4.9585762	-0.000739396	0.00811398	0		-4.9585762	4.9585762
56.513672	-0.16966462	-6.2201099	-0.000834838	0.008433759	0		-6.2201099	6.2201099
57.013672	-0.17063618	-5.0764365	-0.00082761	0.008252859	0		-5.0764365	5.0764365
57.513672	-0.17219782	-6.2537203	-0.000821054	0.008220673	0		-6.2537203	6.2537203
58.013672	-0.17517805	-6.6958127	-0.000730231	0.008227825	0		-6.6958127	6.6958127
58.513672	-0.17461479	-2.6242113	-0.000780597	0.008280575	0		-2.6242113	2.6242113
59.013672	-0.17667413	-6.2854733	-0.000820309	0.00828296	0		-6.2854733	6.2854733
59.513672	-0.1780957	-2.8569601	-0.000875071	0.008198023	0		-2.8569601	2.8569601
60.013672	-0.17898977	-4.2177863	-0.000816137	0.008172691	0		-4.2177863	4.2177863
60.513672	-0.18083751	-8.3484478	-0.000814125	0.008475781	0		-8.3484478	8.3484478
61.013672	-0.1830548	-5.7786579	-0.000809282	0.00834167	0		-5.7786579	5.7786579
61.513672	-0.18348694	-6.3829641	-0.00079751	0.008247197	0		-6.3829641	6.3829641
62.013672	-0.18696189	-5.6689816	-0.000784397	0.008248091	0		-5.6689816	5.6689816
62.513672	-0.18661916	-4.4918265	-0.000821948	0.008420944	0		-4.4918265	4.4918265
63.013672	-0.18866062	-3.8683181	-0.00075154	0.008245409	0		-3.8683181	3.8683181
63.513672	-0.1906842	-5.6779876	-0.000789538	0.00821203	1		-5.6779876	5.6779876
64.013672	-0.19128025	-5.5737343	-0.00082247	0.00831008	0		-5.5737343	5.5737343
64.513672	-0.19418895	-5.7445121	-0.000812635	0.00836581	0		-5.7445121	5.7445121
65.013672	-0.19440055	-5.3427019	-0.000793934	0.008190572	0		-5.3427019	5.3427019
65.513672	-0.19742846	-3.2899559	-0.00084646	0.008332133	0		-3.2899559	3.2899559
66.013672	-0.19801855	-3.6197102	-0.000817776	0.008304417	0		-3.6197102	3.6197102
66.513672	-0.19921362	-4.703042	-0.000784546	0.008312762	0		-4.703042	4.703042
67.013672	-0.20050704	-5.759552	-0.000795722	0.00810355	0		-5.759552	5.759552
67.513672	-0.20243227	-5.7552819	-0.000783205	0.008293092	0		-5.7552819	5.7552819
68.013672	-0.20445883	-8.200326	-0.000823289	0.008276105	0		-8.200326	8.200326
68.513672	-0.20647347	-8.5807381	-0.000796616	0.008223355	0		-8.5807381	8.5807381
69.013672	-0.20696223	-8.4940281	-0.000770763	0.008248687	0		-8.4940281	8.4940281
69.513672	-0.20900965	-11.713533	-0.000775754	0.008414388	0		-11.713533	11.713533
70.013672	-0.20962954	-10.859818	-0.000756681	0.008203983	0		-10.859818	10.859818
70.513672	-0.211972	-10.069267	-0.000799	0.008165538	0		-10.069267	10.069267
71.013672	-0.21302402	-13.039609	-0.000832751	0.008322001	0		-13.039609	13.039609
71.513672	-0.21445453	-13.892964	-0.000770614	0.008306801	0		-13.892964	13.892964
72.013672	-0.21649301	-13.549952	-0.000900701	0.008222461	0		-13.549952	13.549952
72.513672	-0.21754503	-14.531809	-0.000857338	0.008325875	0		-14.531809	14.531809
73.013672	-0.21916628	-16.130058	-0.00085257	0.008426011	0		-16.130058	16.130058
73.513672	-0.22025704	-15.846301	-0.000822991	0.00811398	0		-15.846301	15.846301
74.013672	-0.22267401	-18.483587	-0.000809804	0.008299649	1		-18.483587	18.483587
74.513672	-0.22284091	-21.191263	-0.000799596	0.008307695	0		-21.191263	21.191263
75.013672	-0.22480488	-21.238857	-0.000829995	0.008341372	0		-21.238857	21.238857
75.513672	-0.22578239	-22.569044	-0.000853613	0.008065105	0		-22.569044	22.569044
76.013672	-0.22653937	-27.256744	-0.000858456	0.008356869	0		-27.256744	27.256744
76.513672	-0.22928417	-28.309792	-0.000867844	0.008371472	0		-28.309792	28.309792
77.013672	-0.23064911	-31.848536	-0.00088051	0.008326769	0		-31.848536	31.848536
77.513672	-0.2335608	-33.268234	-0.000832081	0.008090138	0		-33.268234	33.268234
78.013672	-0.2345413	-35.667015	-0.000857413	0.00828296	0		-35.667015	35.667015
78.513672	-0.23479462	-39.772453	-0.000891984	0.008288026	0		-39.772453	39.772453
79.013672	-0.23539066	-40.231628	-0.000885949	0.008185506	0		-40.231628	40.231628
79.513672	-0.23953915	-39.949276	-0.000867844	0.008192658	0		-39.949276	39.949276
80.013672	-0.24010837	-40.668755	-0.00087902	0.00823319	0		-40.668755	40.668755
80.513672	-0.2415657	-40.359211	-0.000908151	0.008241534	0		-40.359211	40.359211
81.013672	-0.24449527	-44.761951	-0.000856742	0.008124709	0		-44.761951	44.761951
